Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
Grapefruit Diesel,Grapefruit x Diesel,Indica/sativa (50/50),17%,0.20%,"['Pungent', 'Grapefruit', 'Fruity', 'Fuel']","['Cerebral', 'Balanced', 'Relaxed', 'Body-buzz']"
Grapefruit Haze,Grapefruit x Super Silver Haze,Sativa-dominant,22%,1.20%,"['Earthy', 'Fruity', 'Spicy']","['Cerebral', 'Euphoric', 'Long-lasting', 'Energetic']"
Grapefruit Kush,BC Kush x Grapefruit,Indica-dominant,19%,1.10%,"['Sweet', 'Hashish', 'Fruity']","['Body-buzz', 'Calming', 'Smooth', 'Relaxed']"
Grapegod,Sweet Pink Grapefruit x God Bud,Indica-dominant,19%,0.90%,"['Sweet', 'Fresh', 'Grape', 'Fruity']","['Calming', 'Relaxed', 'Body-buzz']"
Grapegod x Blueberry,Grapegod x Blueberry,Indica/sativa,Medium,Unknown,"['Sweet', 'Blueberry', 'Fruity']","['Body-buzz', 'Uplifting', 'Balanced', 'Relaxed']"
Grapegod x Master Kush,Grapegod x Master Kush,Indica-dominant,Medium,Unknown,"['Berry', 'Grape', 'Citrus', 'Kushy']","['Relaxed', 'Body-buzz', 'Energetic', 'Creative', 'Balanced']"
Grateful Casey,Casey Jones,Sativa-dominant,Medium,Unknown,"['Diesel', 'Fruity', 'Citrus', 'Earthy']","['Uplifting', 'Couch-lock', 'Strong', 'Energetic']"
Grease Monkey,Cookies and Cream x GG4,Indica/sativa (50/50),16–30%,Low,"['Skunk', 'Sweet', 'Diesel', 'Vanilla']","['Euphoric', 'Relaxed']"
Great White Shark,Super Skunk x White Widow,Indica-dominant (80%),High,Unknown,"['Pungent', 'Skunk', 'Fruity', 'Spicy']","['Relaxed', 'Body-buzz', 'Strong', 'Happy']"
Great White Shark CBD,CBD strain x Great White Shark,Indica-dominant (70%),7-10%,7-10%,"['Sweet', 'Skunk', 'Pungent', 'Fruity']","['Calming', 'Sociable', 'Relaxed', 'Happy']"
Green AK XL,AK-47,Sativa-dominant,18%,Unknown,"['Citrus', 'Spicy', 'Pine']","['Cerebral', 'Euphoric', 'Relaxed']"
Green Crack,Afghani x Skunk 1,Sativa-dominant (60%),18%,0.10%,"['Earthy', 'Sweet', 'Citrus']","['Uplifting', 'Energetic', 'Happy', 'Creative']"
Green Crack CBD,Green Crack x CBD strain,Sativa-dominant (60%),6%,12%,"['Citrus', 'Earthy', 'Sweet']","['Relaxed', 'Calming', 'Sociable', 'Euphoric']"
Green Gelato,Sunset Sherbet x Thin Mint Girl Scout Cookies,Indica-dominant (55%),25-27%,Low,"['Sweet', 'Citrus', 'Earthy']","['Euphoric', 'Strong', 'Body-buzz']"
Green Gelato Automatic,Green Gelato,Sativa-dominant (55%) autoflowering,High,Low,"['Fruity', 'Candy', 'Earthy']","['Clear-headed', 'Relaxed']"
Green Gummy,Peyote Purple 7 x North American indica,Indica-dominant (70%),Medium,Unknown,"['Sweet', 'Fruity', 'Skunk']","['Happy', 'Calming', 'Sleepy', 'Relaxed']"
Green House Thai,Laos x Thai,Sativa (90-100%),13.92%,1.33%,"['Herbal', 'Woody']","['Uplifting', 'Relaxed', 'Motivated', 'Happy']"
Green Magic,Green Manalishi x White Choco,Indica-dominant (60%),19%,1.20%,"['Sweet', 'Chocolate', 'Spicy']","['Balanced', 'Body-buzz', 'Relaxed']"
Green Poison CBD,CBD strain x Green Poison,Indica-dominant,5-9%,5-12%,"['Sweet', 'Fruity', 'Citrus']","['Happy', 'Calming', 'Sociable', 'Relaxed']"
Green Tiger,Early Skunk x Skunk,Indica-dominant (80%),22%,Low,"['Sweet', 'Fruity']","['Relaxed', 'Creative']"
Green-O-Matic,White Dwarf x Moroccan x Lowryder,Indica-dominant (80%) autoflowering,15%,0.09%,"['Sweet', 'Earthy', 'Berry', 'Pungent']","['Relaxed', 'Munchies', 'Couch-lock', 'Calming', 'Sleepy']"
GSC,OG Kush x Durban Poison,Indica-dominant (60%),25-28%,Unknown,"['Sweet', 'Fruity', 'Mint']","['Uplifting', 'Cerebral', 'Balanced', 'Happy', 'Body-buzz']"
Guava Berry Kush,Chemdog x Afghani x Chem 91 x Juanita la Lagrimosa,Indica-dominant (60%),18%,12%,"['Kushy', 'Tropical', 'Earthy', 'Berry']","['Narcotic', 'Calming', 'Strong', 'Relaxed', 'Happy']"
Guayaka,Guayaba x Kalijah,Indica-dominant,Medium,High,"['Sweet', 'Pungent', 'Sour']","['Happy', 'Relaxed', 'Sociable', 'Energetic']"
Gummy Bears,Big Lemon x Trueberry,Indica-dominant,Medium,Unknown,"['Pine', 'Citrus', 'Berry']","['Giggly', 'Body-buzz', 'Relaxed', 'Happy']"
Gypsy Kush,Afghani x Black Domina x Ginger Ale,Indica/sativa (50/50),16%,0.50%,"['Sweet', 'Spicy', 'Flowery']","['Relaxed', 'Cerebral', 'Balanced', 'Euphoric', 'Body-buzz']"
Haoma,Purps x Afghani,Indica-dominant (70%),14%,0.20%,"['Sweet', 'Fruity']","['Relaxed', 'Sociable', 'Calming']"
Happy Brother BX2,Happy Brother BX1 x Original Happy Brother,Indica-dominant,High,Unknown,"['Sweet', 'Fruity', 'Fresh']","['Body-buzz', 'Calming', 'Long-lasting', 'Relaxed']"
Harlequin,Swiss sativaxColombian Gold x Thai x Landrace from Nepal,Sativa-dominant (75%),5%,9%,"['Mango', 'Spicy', 'Earthy', 'Woody']","['Clear-headed', 'Motivated']"
