Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
A.C. Diesel,Sour Diesel,Sativa-dominant,Medium,Unknown,"['Diesel', 'Sour']","['Focused', 'Cerebral', 'Relaxed', 'Uplifting']"
AMS,Swiss indica x Swiss sativa,Indica-dominant (60%),19-20%,0.17%,"['Sweet', 'Earthy', 'Pine']","['Energetic', 'Euphoric', 'Clear-headed']"
Acapulco Gold,Landrace from Mexico,Sativa-dominant (70%),Medium,Low,"['Spicy', 'Earthy', 'Sweet', 'Musky']","['Uplifting', 'Cerebral', 'Energetic', 'Alert']"
ACDC,Cannatonic,Indica/sativa,1%,19-22%,"['Woody', 'Lemon', 'Pine', 'Fresh']","['Clear-headed', 'Smooth', 'Relaxed']"
Ace Silver Haze,Haze x Skunk x Northern Lights,Sativa-dominant,High,Unknown,"['Citrus', 'Sweet', 'Spicy']","['Uplifting', 'Happy', 'Cerebral']"
Acid,NYC Diesel,Indica-dominant (60%),16-20%,Unknown,"['Diesel', 'Sour', 'Grape']","['Relaxed', 'Uplifting', 'Euphoric']"
Afghan Hash Plant,Afghani Mazar-i-Sharif,Indica (90-100%),Medium,Unknown,"['Pungent', 'Sandalwood', 'Citrus', 'Woody']","['Body-buzz', 'Calming', 'Relaxed']"
Afghan Haze,Haze x Afghani,Sativa-dominant,High,Unknown,"['Herbal', 'Spicy', 'Pine', 'Woody']","['Calming', 'Relaxed', 'Happy']"
Afghan Kush,Landrace from Hindu Kush,Indica (90-100%),17%,Unknown,"['Spicy', 'Woody', 'Earthy']","['Strong', 'Relaxed', 'Sleepy', 'Couch-lock']"
Afghan OG,Afghani x OG Kush,Indica-dominant,Medium,Medium,"['Spicy', 'Earthy', 'Hashish']","['Relaxed', 'Body-buzz', 'Couch-lock', 'Calming', 'Sedative']"
Afghan Skunk,Skunk 1 x Afghani,Indica/sativa (50/50),17%,Unknown,"['Earthy', 'Herbal', 'Skunk']","['Sleepy', 'Calming', 'Relaxed']"
Afghani,Landrace from Afghanistan,Indica (90-100%),Medium,Unknown,"['Spicy', 'Earthy', 'Fresh']","['Relaxed', 'Couch-lock', 'Body-buzz', 'Happy', 'Calming']"
Afghani Gold,Afghani x Skunk 1,Indica (90-100%),High,Unknown,"['Sweet', 'Spicy', 'Herbal', 'Fruity']","['Relaxed', 'Happy', 'Couch-lock', 'Euphoric', 'Strong']"
Afgooey,Maui Haze x Afghani,Indica-dominant (70%),High,Unknown,"['Earthy', 'Citrus', 'Fruity']","['Creative', 'Sociable', 'Relaxed', 'Happy']"
Afrodite,Black Domina x Jack Herer,Sativa-dominant,Medium,Unknown,"['Sweet', 'Pepper', 'Earthy', 'Spicy']","['Cerebral', 'Strong', 'Narcotic']"
Afrokush,Pakistan Chitral Kush,Indica/sativa (50/50),High,Low,"['Sweet', 'Lemon', 'Flowery', 'Spicy', 'Hashish']","['Motivated', 'Creative', 'Uplifting', 'Energetic']"
Agent Orange,Jacks Cleaner x Orange Skunk x Space Queen,Indica/sativa (50/50),High,Unknown,"['Lemon', 'Sour']","['Strong', 'Motivated', 'Energetic']"
Airborne Genius,Genius x G13 Hash Plant,Indica-dominant,High,Unknown,"['Sweet', 'Citrus', 'Sour', 'Lemon']","['Happy', 'Balanced', 'Relaxed', 'Uplifting']"
AK Choco Kush,Choco Kush x AK-47,Indica-dominant (80%),21%,0.40%,"['Sweet', 'Chocolate', 'Spicy']","['Narcotic', 'Sleepy', 'Body-buzz', 'Relaxed']"
AK Widow 47,AK-47 x White Widow,Indica/sativa (50/50),14-19%,Unknown,"['Skunk', 'Fruity', 'Citrus', 'Spicy']","['Energetic', 'Uplifting', 'Relaxed']"
AK-020,Colombian x Mexican x Afghani,Indica/sativa (50/50),High,Unknown,"['Spicy', 'Sour', 'Pungent', 'Sweet', 'Earthy']","['Cerebral', 'Long-lasting', 'Relaxed', 'Body-buzz']"
AK-420,Mexican x Thai x Colombian x Afghani,Sativa-dominant,High,Unknown,"['Earthy', 'Skunk', 'Pungent']","['Relaxed', 'Uplifting', 'Sociable', 'Cerebral']"
AK-47,Colombian x Mexican x Afghani x Thai,Sativa-dominant,High,Unknown,"['Spicy', 'Pine', 'Skunk', 'Citrus']","['Sociable', 'Cerebral', 'Alert', 'Relaxed', 'Calming']"
AK-48,Mexican x Afghani x Thai x Colombian Gold,Indica/sativa,High,Unknown,"['Sweet', 'Citrus', 'Skunk']","['Cerebral', 'Relaxed', 'Calming']"
AK-OG Kush,AK-47 x OG Kush,Indica-dominant (80%),22%,0.40%,"['Earthy', 'Spicy', 'Coffee', 'Woody']","['Narcotic', 'Body-buzz', 'Relaxed', 'Happy']"
Akorn,Snow Bud,Indica-dominant,High,Unknown,"['Skunk', 'Sweet', 'Spicy']","['Relaxed', 'Body-buzz', 'Calming']"
Alaskan Ice,Haze x White Widow,Sativa-dominant (70%),High,Unknown,"['Sweet', 'Earthy', 'Citrus', 'Pungent']","['Euphoric', 'Strong', 'Relaxed', 'Uplifting']"
Alchemy,Querkle x Chem Dawg,Indica/sativa (50/50),21-22%,0.03%,"['Musky', 'Earthy', 'Diesel', 'Grape']","['Happy', 'Motivated', 'Relaxed', 'Munchies']"
Alien OG,Tahoe OG Kush x Alien Kush,Indica-dominant,28%,Low,"['Lemon', 'Pine']","['Focused', 'Happy', 'Uplifting']"
Allkush,Dutch genetics x Kush,Indica-dominant (80%),High,Low,"['Sweet', 'Earthy', 'Musky']","['Talkative', 'Strong', 'Calming', 'Sociable', 'Relaxed']"
Alphadawg,Chemdawg D x Snowdawg,Sativa-dominant (60%),High,Unknown,"['Sweet', 'Skunk', 'Diesel']","['Cerebral', 'Euphoric', 'Body-buzz', 'Relaxed']"
Amazing Haze,Amnesia Haze x Caramella,Sativa (90-100%),High,Unknown,"['Earthy', 'Lemon']","['Motivated', 'Cerebral', 'Uplifting', 'Happy']"
Amazonia,Master Widow x Green Thai,Sativa-dominant (60%),Medium,Medium,"['Sweet', 'Creamy', 'Spicy']","['Body-buzz', 'Happy', 'Long-lasting', 'Relaxed']"
American Dream,Jamaican x Afghani x Hawaiian sativa x Skunk,Indica-dominant (70%),Medium,Unknown,"['Sweet', 'Skunk', 'Pungent']","['Relaxed', 'Happy', 'Giggly']"
American Kush,Sin City Kush x Pre 98 Bubba Kush,Indica-dominant (70%),High,Low,"['Fruity', 'Lavender', 'Lemon']","['Strong', 'Relaxed']"
American Pie,Power Plant x White Widow,Sativa-dominant (60%),20%,Unknown,"['Earthy', 'Sweet', 'Spicy']","['Happy', 'Talkative', 'Relaxed', 'Motivated']"
Amnesi-K Lemon,Amnesia x Jack Herer x Lemon Skunk,Sativa-dominant,23-24%,0.30%,"['Earthy', 'Lemon', 'Citrus', 'Skunk']","['Creative', 'Happy', 'Euphoric', 'Uplifting']"
Amnesia,Nevilles Haze x Enemy Of The State,Sativa-dominant,20-25%,Low,"['Sweet', 'Fresh', 'Fruity']","['Uplifting', 'Euphoric', 'Cerebral', 'Happy', 'Energetic']"
Amnesia 7,Peyote Purple 7 x Amnesia,Sativa-dominant,High,Unknown,"['Herbal', 'Flowery', 'Kushy']","['Relaxed', 'Uplifting', 'Energetic', 'Talkative']"
Amnesia Bilbo,Amnesia Haze,Sativa,High,Unknown,"['Citrus', 'Candy', 'Sweet', 'Spicy']","['Uplifting', 'Euphoric', 'Cerebral', 'Energetic']"
Amnesia CBD,Original Amnesia x CBD strain,Sativa-dominant (60%),8%,10%,"['Citrus', 'Woody', 'Lemon', 'Tropical']","['Creative', 'Relaxed', 'Calming']"
Amnesia Gold,Lennon x Amnesia Haze,Sativa-dominant (75%),19%,0.10%,"['Citrus', 'Fruity', 'Sweet']","['Motivated', 'Body-buzz', 'Uplifting', 'Cerebral']"
Amnesia Haze,Jamaican x Afghani x Laos x Hawaiian,Sativa-dominant (70%),22-24%%,Low,"['Sweet', 'Pepper', 'Citrus', 'Spicy', 'Earthy']","['Uplifting', 'Euphoric', 'Cerebral', 'Strong', 'Energetic']"
Amnesia Haze XL,Amnesia Haze x Super Skunk,Sativa-dominant,21%,Unknown,"['Skunk', 'Sweet', 'Spicy']","['Uplifting', 'Cerebral', 'Happy', 'Strong']"
Amnesia Kush,Amnesia Haze x OG Kush,Sativa-dominant (70%),20%,0.10%,"['Lemon', 'Pine', 'Citrus', 'Sweet']","['Relaxed', 'Cerebral', 'Uplifting', 'Couch-lock']"
Amnesia Lemon,Amnesia Haze x Lemon Skunk,Sativa-dominant (60%),High,Low,"['Woody', 'Earthy', 'Sweet', 'Citrus']","['Strong', 'Relaxed', 'Cerebral', 'Sleepy', 'Couch-lock']"
Amnesia Mac Ganja (AMG),Amnesia x Mexican Haze,Sativa-dominant (80%),22%,Low,"['Herbal', 'Spicy', 'Earthy']","['Euphoric', 'Strong']"
Amnesia Mistery,California x Amnesia Haze,Sativa (90-100%),21%,0.30%,"['Citrus', 'Mint', 'Pine', 'Fresh']","['Euphoric', 'Uplifting', 'Creative', 'Giggly', 'Cerebral']"
Amnesia Molotov,Kubanskiy Ubiyza x Chem Dawg x Amnesia,Sativa-dominant (60%),24%,Unknown,"['Spicy', 'Citrus', 'Ginger']","['Euphoric', 'Strong', 'Relaxed', 'Happy', 'Cerebral']"
Amnesia Ryder,Lowryder 2 x Amnesia,Sativa-dominant autoflowering,Medium,Unknown,"['Fruity', 'Pungent', 'Citrus']","['Cerebral', 'Euphoric', 'Uplifting', 'Energetic', 'Motivated']"
Amnesia White,Haze x Afghani x Thai,Sativa-dominant (70%),High,Unknown,"['Flowery', 'Spicy', 'Pine']","['Trippy', 'Strong']"
Amsterdam Mist,Haze x Northern Lights,Sativa-dominant (70%),Medium,Unknown,"['Fresh', 'Lemon', 'Herbal', 'Fruity']","['Energetic', 'Creative', 'Relaxed', 'Cerebral']"
Anesthesia,Black Domina x Northern Lights,Indica (90-100%),Medium,Unknown,"['Sweet', 'Chemical', 'Sour']","['Narcotic', 'Happy', 'Relaxed']"
Angel Heart,Mango Haze x Afghan Skunk,Sativa-dominant,Medium,Unknown,"['Sweet', 'Skunk', 'Musky', 'Fruity']","['Creative', 'Uplifting', 'Energetic', 'Happy']"
Annapurna SuperAuto,Stitch 0.1 x Kerala x KC33,Sativa-dominant (80%) autoflowering,18%,0.90%,"['Herbal', 'Mint', 'Spicy']","['Happy', 'Calming', 'Relaxed']"
Apollo 11,Cinderella 99 x Genius,Sativa-dominant,Medium,Unknown,"['Sweet', 'Lemon', 'Fruity', 'Candy']","['Happy', 'Cerebral', 'Energetic', 'Uplifting']"
Apollo Haze,Super Silver Grail Haze x Genius,Sativa-dominant,Medium,Unknown,"['Berry', 'Spicy', 'Fuel', 'Citrus', 'Fruity']","['Energetic', 'Clear-headed', 'Euphoric']"
AppleJack,Jack Herer x White Widow,Sativa-dominant,18-19%,Unknown,"['Sweet', 'Fruity', 'Skunk']","['Happy', 'Strong', 'Euphoric', 'Uplifting', 'Relaxed']"
Arjan's Haze 1,G13 x Haze,Sativa-dominant (70%),21.44%,0.40%,"['Sweet', 'Spicy', 'Citrus', 'Mint']","['Strong', 'Psychedelic', 'Uplifting', 'Long-lasting']"
Arjan's Ultra Haze 1,Cambodiax Nevilles Haze xLaos,Sativa-dominant (80%),16.22%,0.19%,"['Citrus', 'Sweet', 'Fresh']","['Trippy', 'Strong', 'Energetic', 'Uplifting']"
Arjan's Ultra Haze 2,Mango Hazex Nevilles Haze xLaos,Sativa-dominant (80%),17-18%,0.16%,"['Woody', 'Sweet', 'Fruity']","['Motivated', 'Uplifting', 'Energetic', 'Talkative']"
Arjan’s Haze 2,Laos x Haze x Super Silver Haze,Sativa-dominant (80%),12.89%,0.20%,"['Earthy', 'Sweet', 'Pine']","['Trippy', 'Cerebral', 'Energetic', 'Uplifting']"
Arjan’s Haze 3,Laos x Haze,Sativa-dominant (70%),13.29%,1.20%,"['Sweet', 'Pine', 'Tropical']","['Uplifting', 'Talkative', 'Cerebral', 'Euphoric']"
Arjan’s Strawberry Haze,NL5 Haze Mist x Swiss sativa,Sativa-dominant (60%),19.72%,0.07%,"['Sweet', 'Strawberry']","['Strong', 'Trippy', 'Uplifting', 'Cerebral', 'Euphoric']"
Aroma,Ed Rosenthal Super Bud x Power Plant x CH9 Hybrid x Jack Herer,Indica-dominant,Medium,Unknown,"['Candy', 'Earthy', 'Pineapple', 'Tangerine', 'Flowery']","['Long-lasting', 'Relaxed', 'Uplifting', 'Motivated']"
Atomic,Chem Dawg x Emerald OG Kush x THC Bomb,Indica/sativa,22-26%,Unknown,"['Kushy', 'Citrus', 'Mint', 'Fuel', 'Berry']","['Relaxed', 'Body-buzz', 'Strong', 'Euphoric', 'Balanced']"
Atomical Haze,Haze x Afghani x Indian sativa,Sativa-dominant (80%),High,Low,"['Sweet', 'Sour']","['Focused', 'Energetic', 'Cerebral']"
Aurora Indica,Afghani x Northern Lights,Indica (90-100%),Medium,Unknown,"['Earthy', 'Hashish']","['Relaxed', 'Body-buzz', 'Strong', 'Couch-lock']"
Auto 1,Lowryder 2,Indica-dominant autoflowering,Low,Unknown,"['Earthy', 'Woody', 'Herbal']","['Relaxed', 'Munchies', 'Calming', 'Body-buzz']"
Auto Anthrax,Green Poison x Big Devil 2,Indica-dominant (60%) autoflowering,High,Low,"['Skunk', 'Sweet']","['Relaxed', 'Strong', 'Calming']"
Auto Blackberry Moonrocks,Blackberry Kush,Indica-dominant autoflowering,25%,Low,"['Blueberry', 'Lavender']","['Relaxed', 'Strong', 'Body-buzz']"
Auto Cinderella Jack,Jack Herer x Magnum x Cinderella 99,Indica/sativa,20%,Unknown,"['Sweet', 'Fruity', 'Herbal']","['Giggly', 'Happy', 'Calming', 'Relaxed']"
Auto Diablo XL,Jack Herer x Big Devil 2,Indica-dominant (60%) autoflowering,16–20%,Low,"['Fruity', 'Pungent', 'Sour']","['Euphoric', 'Happy']"
Auto Mass,Lowryder x Critical Mass,Indica-dominant autoflowering,Medium,Unknown,"['Pungent', 'Earthy', 'Sweet']","['Uplifting', 'Mellow', 'Relaxed', 'Body-buzz']"
Auto Yumbolt,Lowryder 2 x Yumbolt,Indica-dominant autoflowering,Medium,Unknown,"['Sweet', 'Berry', 'Musky']","['Calming', 'Dreamy', 'Body-buzz', 'Relaxed']"
Ayahuasca Purple,Master Kush x Red River Delta,Indica (100%),21%,1.40%,"['Sour', 'Lavender', 'Tropical', 'Nutty', 'Earthy']","['Relaxed', 'Calming', 'Strong', 'Couch-lock', 'Body-buzz']"
Azure Haze,Silver Haze x Blueberry,Sativa-dominant,High,Unknown,"['Berry', 'Earthy', 'Melon', 'Citrus', 'Fruity']","['Energetic', 'Dreamy', 'Uplifting']"
Bad Azz Kush,Original OG x Urkel x Afghan Kush,Indica (90-100%),24%,1.10%,"['Earthy', 'Hashish', 'Berry', 'Herbal']","['Sociable', 'Body-buzz', 'Strong', 'Relaxed']"
Badazz Cheese,Badazz OG Kush x Big Buddha Cheese,Indica (90-100%),Medium,Unknown,"['Earthy', 'Spicy', 'Pine', 'Kushy']","['Euphoric', 'Relaxed', 'Happy']"
Baikal Express,Kubanskiy Ubiyza x Secret strain,Sativa-dominant (70%),22%,Unknown,"['Sour', 'Herbal', 'Earthy', 'Lemon']","['Relaxed', 'Cerebral', 'Energetic', 'Uplifting']"
Banana Bomb,Banana Kush x THC Bomb,Indica-dominant (80%),20–22%,Low,"['Tropical', 'Kushy', 'Spicy', 'Banana']","['Uplifting', 'Relaxed', 'Strong']"
Banana Kush,Ghost OG x Skunk Haze,Indica-dominant (60%),19-25%,Low,"['Banana', 'Tropical', 'Herbal', 'Kushy']","['Creative', 'Strong', 'Relaxed', 'Body-buzz', 'Sleepy']"
Banana Split,Tangie x Banana Sherbet,Sativa-dominant (60%),Medium,Unknown,"['Chemical', 'Banana', 'Sweet', 'Citrus']","['Cerebral', 'Uplifting', 'Motivated']"
Bandana,707 Headband x Snowdawg,Sativa-dominant (70%),Medium,5%,"['Diesel', 'Herbal', 'Earthy', 'Skunk']","['Calming', 'Uplifting', 'Relaxed', 'Happy', 'Cerebral']"
Bangi Haze,Congo x Nepal,Sativa-dominant (70%),19%,Unknown,"['Musky', 'Lemon', 'Flowery']","['Uplifting', 'Motivated', 'Energetic']"
Barbara Bud,Shiskaberry x Afghani,Indica/sativa,Medium,Unknown,"['Earthy', 'Fruity', 'Sweet']","['Relaxed', 'Calming', 'Sociable', 'Happy']"
Bass Line,Guayaba x Chem 4,Indica-dominant,High,Unknown,"['Earthy', 'Woody', 'Pepper']","['Euphoric', 'Cerebral', 'Relaxed', 'Happy', 'Energetic']"
BC Early Blueberry,Sweet Pink Grapefruit x Blueberry,Indica-dominant (80%),20%,0.50%,"['Sweet', 'Blueberry', 'Tropical', 'Grapefruit']","['Calming', 'Body-buzz', 'Relaxed', 'Euphoric']"
BC Golden Skunk,Grapeskunk x Skunk 1,Indica/sativa,17-19%,0.80%,"['Pungent', 'Skunk']","['Balanced', 'Relaxed', 'Body-buzz', 'Uplifting']"
BC Purps,Purple Kush,Indica-dominant,18-20%,0.30%,"['Grape', 'Hashish', 'Earthy', 'Pungent']","['Body-buzz', 'Calming', 'Sedative', 'Relaxed']"
BCN Diesel,NY Diesel x Afghani x Black Domina,Sativa-dominant (60%),20%,Unknown,"['Spicy', 'Citrus']","['Uplifting', 'Trippy', 'Cerebral', 'Energetic']"
Berry Bomb,Bomb 1 x Blueberry,Indica-dominant,15-20%,Unknown,"['Sweet', 'Earthy', 'Berry']","['Body-buzz', 'Calming', 'Relaxed']"
Berry Delight,Blueberry x Northern Lights,Indica-dominant,12-15%,Unknown,"['Sweet', 'Berry']","['Relaxed', 'Smooth', 'Body-buzz']"
Big Band,Bubble Gum x Black Domina x Chronic,Indica-dominant,17-18%,Low,"['Flowery', 'Sweet', 'Fruity']","['Giggly', 'Talkative', 'Relaxed', 'Happy']"
Big Bang,Northern Lights x Skunk x El Niño,Indica-dominant (70%),19.80%,0.12%,"['Sour', 'Spicy', 'Berry', 'Sweet']","['Relaxed', 'Calming', 'Trippy', 'Narcotic']"
Big Bomb,Big Bud x Bomb 1,Indica/sativa (50/50),10-15%,Unknown,"['Skunk', 'Earthy', 'Pine']","['Happy', 'Relaxed', 'Body-buzz']"
Big Bud,Skunk x Afghani,Indica-dominant (85%),Medium,Unknown,"['Earthy', 'Herbal', 'Spicy']","['Relaxed', 'Body-buzz', 'Sleepy', 'Happy']"
Big Bud XXL,Big Bud,Indica-dominant (80%),15%,Unknown,"['Pungent', 'Earthy', 'Spicy']","['Couch-lock', 'Lazy', 'Relaxed']"
Big Buddha Cheese,Cheese x Skunk 1 x Afghani,Indica-dominant,Medium,Unknown,"['Skunk', 'Cheese']","['Sleepy', 'Munchies', 'Euphoric', 'Relaxed', 'Happy']"
Big Bull,Black Domina x Early Pearl x Skunk,Indica (90-100%),11-12%,Unknown,"['Flowery', 'Sweet', 'Fresh']","['Body-buzz', 'Meditative', 'Relaxed', 'Dreamy']"
Big Critical,Critical Bilbo x Big Bud,Sativa-dominant (60%),Medium,Unknown,"['Earthy', 'Spicy', 'Herbal']","['Long-lasting', 'Body-buzz', 'Balanced', 'Cerebral']"
Big Foot,Hash Plant x Grimace,Indica/sativa (50/50),18-22%,0.70%,"['Sweet', 'Pine', 'Tropical', 'Spicy']","['Happy', 'Calming', 'Relaxed', 'Energetic', 'Body-buzz']"
Big Jack,Jack Herer x Big Bud,Indica/sativa,15-18%,Unknown,"['Sweet', 'Spicy', 'Earthy']","['Cerebral', 'Balanced', 'Uplifting', 'Body-buzz', 'Relaxed']"
Big Kush,OG Kush x Big Skunk,Indica/sativa (50/50),20%,Low,"['Citrus', 'Lemon', 'Sweet']","['Energetic', 'Balanced', 'Relaxed', 'Body-buzz']"
Big Tooth,Hawaiian sativaxNepal x Afghani,Indica-dominant (60%),Medium,Unknown,"['Herbal', 'Woody', 'Flowery', 'Spicy']","['Couch-lock', 'Munchies', 'Relaxed', 'Cerebral']"
Biker Kush,Hells Angel OG x SFV OG Kush,Indica-dominant,Medium,Unknown,"['Earthy', 'Lemon', 'Pine', 'Kushy']","['Focused', 'Long-lasting', 'Relaxed', 'Body-buzz', 'Meditative']"
Bisho Purple,Pakistan Chitral Kush,Indica/sativa,High,Unknown,"['Pine', 'Woody', 'Spicy', 'Fruity', 'Strawberry']","['Happy', 'Sociable', 'Long-lasting', 'Calming', 'Strong', 'Narcotic']"
Bizarre,Boognish Rising x Double Sour Diesel,Indica-dominant (70%),14-15%,0.40%,"['Berry', 'Diesel', 'Citrus', 'Spicy']","['Creative', 'Happy', 'Relaxed', 'Euphoric']"
Black Bomb,Tropimango x Black Domina,Indica-dominant (80%),19%,Unknown,"['Sweet', 'Flowery', 'Earthy']","['Sleepy', 'Body-buzz', 'Happy', 'Narcotic', 'Relaxed']"
Black Cheese,Black Widow x SFV OG Kush x Big Buddha Cheese,Indica-dominant (85%),Medium,Unknown,"['Hashish', 'Pepper', 'Kushy', 'Cheese', 'Pungent']","['Narcotic', 'Long-lasting', 'Relaxed', 'Body-buzz']"
Black Diesel,NYC Diesel,Sativa-dominant (70%),17%,Unknown,"['Fruity', 'Tropical', 'Grapefruit']","['Smooth', 'Energetic', 'Cerebral', 'Uplifting']"
Black Domina,Northern Lights x Afghani x Ortega x Hash Plant,Indica (90-100%),Medium,Unknown,"['Pepper', 'Pine', 'Earthy', 'Spicy']","['Relaxed', 'Giggly', 'Strong', 'Happy']"
Black Gum,Bubble Gum x Black Domina,Indica-dominant,21%,Unknown,"['Sweet', 'Fruity', 'Strawberry', 'Caramel']","['Relaxed', 'Cerebral', 'Couch-lock', 'Strong']"
Black Jack,Jack Herer x Black Domina,Indica/sativa (50/50),16-20%,1%,"['Sweet', 'Herbal', 'Woody', 'Spicy']","['Uplifting', 'Cerebral', 'Relaxed', 'Balanced']"
Black Jack CBD,Black Jack x CBD strain,Indica/sativa (50/50),10-18%,9-17%,"['Sweet', 'Fruity', 'Citrus']","['Body-buzz', 'Balanced', 'Euphoric', 'Smooth', 'Relaxed']"
Black Poison,Black Durban x Black Forrest,Sativa-dominant,High,Unknown,"['Earthy', 'Pine', 'Flowery']","['Euphoric', 'Long-lasting', 'Creative', 'Motivated', 'Energetic']"
Black Poison Skunk,Red Russian Skunk x Black Poison,Indica/sativa,High,Unknown,"['Ammonia', 'Skunk', 'Pungent']","['Narcotic', 'Happy', 'Body-buzz', 'Couch-lock']"
Black Runtz,Gelato x Zkittlez,Indica-dominant (55%),19–29%,Low,"['Sour', 'Berry', 'Spicy', 'Fruity']","['Energetic', 'Uplifting', 'Happy', 'Relaxed']"
Black Russian,Black Domina x White Russian,Indica-dominant (80%),24%,Unknown,"['Earthy', 'Fruity', 'Citrus', 'Sweet']","['Relaxed', 'Giggly', 'Strong', 'Happy']"
Black Widow,Brazilian x South Indian,Indica-dominant (60%),20–22%,Low,"['Pine', 'Sweet', 'Pungent', 'Fruity', 'Spicy']","['Euphoric', 'Uplifting', 'Strong', 'Energetic', 'Talkative']"
Blackberry Rocks,Blackberry Kush,Indica-dominant (80%),,Low,"['Candy', 'Berry', 'Sweet']","['Relaxed', 'Uplifting']"
Blackdance,Dancehall 20 x Black Domina,Indica/sativa,Medium,Unknown,"['Earthy', 'Spicy', 'Pine', 'Fruity']","['Giggly', 'Talkative', 'Relaxed', 'Happy']"
Blackjack,Jock Horror x Black Domina,Sativa-dominant,High,High,"['Sweet', 'Spicy', 'Earthy']","['Uplifting', 'Relaxed', 'Cerebral', 'Energetic']"
Blackwater,Mendocino Purps x SFV OG Kush,Indica-dominant,Medium,Unknown,"['Sweet', 'Lemon', 'Pine', 'Grape']","['Relaxed', 'Mellow', 'Couch-lock', 'Munchies', 'Euphoric']"
Blue Amnesia Haze,Amnesia Haze,Sativa-dominant (60%),24%,1.20%,"['Citrus', 'Spicy', 'Sweet']","['Happy', 'Long-lasting']"
Blue Brilliant,Blueberry x Super Silver Haze,Sativa-dominant,20%,Unknown,"['Berry', 'Lemon', 'Fruity']","['Motivated', 'Giggly', 'Uplifting', 'Creative']"
Blue Cheddar 1,Blueberry x Cheese,Indica-dominant,18-20%,Low,"['Pungent', 'Blueberry']","['Relaxed', 'Couch-lock']"
Blue Cheese,Cheese x Blueberry,Indica-dominant (60%),19-20%,Unknown,"['Berry', 'Skunk', 'Cheese', 'Pungent']","['Relaxed', 'Strong', 'Lazy']"
Blue Dream,Haze x Blueberry,Sativa-dominant (70%),19%,0.10%,"['Berry', 'Sweet', 'Herbal', 'Pine']","['Motivated', 'Sociable', 'Cerebral']"
Blue Dream CBD,Blue Dream x CBD strain,Sativa-dominant (65%),10%,10%,"['Pepper', 'Berry', 'Citrus']","['Relaxed', 'Smooth', 'Calming']"
Blue Dream'matic,Tangiematic x Blue Dream,Sativa-dominant (75%) autoflowering,High,Low,"['Berry', 'Pine', 'Citrus', 'Earthy']","['Cerebral', 'Euphoric', 'Body-buzz', 'Relaxed']"
Blue Elite Indica,Mota Khan Afghana x Blue Kush,Indica (90-100%),19%,Unknown,"['Sour', 'Fruity', 'Sweet', 'Strawberry']","['Body-buzz', 'Happy', 'Relaxed']"
Blue Funk,Blueberry x Cheese,Indica-dominant,20%,Unknown,"['Sweet', 'Berry', 'Fruity', 'Cheese', 'Pungent']","['Relaxed', 'Lazy', 'Happy', 'Strong']"
Blue Gelato 41,Thin Mint Girl Scout Cookies x Blueberry x Sunset Sherbet,Indica-dominant (60%),Medium,Unknown,"['Citrus', 'Sweet', 'Earthy', 'Fresh']","['Focused', 'Motivated', 'Energetic']"
Blue Grape Dream,Grapefruit x Blueberry,Indica/sativa,13-17%,Unknown,"['Berry', 'Fruity', 'Grape', 'Lemon']","['Motivated', 'Uplifting', 'Creative', 'Sociable']"
Blue Hash,Blueberry x California Hash Plant,Indica-dominant (60%),12-16%,Low,"['Earthy', 'Hashish', 'Berry', 'Sweet']","['Happy', 'Body-buzz', 'Relaxed', 'Calming']"
Blue Haze,Haze x Blueberry,Sativa-dominant,20%,Unknown,"['Sweet', 'Berry', 'Citrus']","['Uplifting', 'Happy', 'Cerebral', 'Relaxed', 'Euphoric']"
Blue Kush,Blue Dream x OG Kush,Sativa-dominant (55%),20%,0.16%,"['Sweet', 'Pine', 'Berry']","['Cerebral', 'Sleepy', 'Relaxed']"
Blue Kush Berry,Shiskaberry x Kush,Indica-dominant,18-22%,Low,"['Sweet', 'Earthy', 'Berry']","['Happy', 'Relaxed', 'Strong', 'Couch-lock']"
Blue Lemon Thai,Toxic Blue x Lemon Thai,Indica/sativa,Medium,Unknown,"['Diesel', 'Blueberry', 'Fruity']","['Body-buzz', 'Cerebral', 'Balanced', 'Uplifting']"
Blue Lemon Thai x Aroma,Blue Lemon Thai x Aroma,Indica-dominant,Medium,Unknown,"['Flowery', 'Fresh', 'Pineapple']","['Body-buzz', 'Calming', 'Smooth', 'Relaxed']"
Blue Magic,Headband x Green Magic,Indica-dominant,21%,0.70%,"['Sweet', 'Skunk', 'Spicy']","['Strong', 'Long-lasting', 'Relaxed']"
Blue Mazar,Blue Widow x Mazar,Indica-dominant (80%),20%,Unknown,"['Earthy', 'Fresh', 'Spicy']","['Body-buzz', 'Happy', 'Long-lasting', 'Relaxed']"
Blue Medi Kush,California Sour x OG Kush x Afghan Kush,Indica-dominant (60%),Medium,Unknown,"['Mint', 'Hashish', 'Grape', 'Fruity']","['Relaxed', 'Long-lasting', 'Uplifting']"
Blue Mystic,Blueberry x Northern Lights,Indica-dominant (80%),18%,Medium,"['Sweet', 'Tropical', 'Fresh']","['Happy', 'Calming', 'Relaxed', 'Couch-lock', 'Body-buzz']"
Blue Power,Blueberry x Skunk 1 x White Widow,Indica-dominant (80%),16%,Unknown,"['Pungent', 'Tropical']","['Happy', 'Euphoric']"
