UrlName,Name,Genetics,Parents,THC,CBD,Smell & flavour,Effect
supercheese,Supercheese,Indica/sativa,Cheese,Medium,Unknown,"['Pungent', 'Cheese', 'Skunk']","['Body-buzz', 'Relaxed', 'Happy', 'Balanced', 'Euphoric']"
superglue,Superglue,Indica-dominant (60%),"['Afghani', 'Northern Lights']",18-19%,Unknown,"['Earthy', 'Woody', 'Pine', 'Caramel']","['Happy', 'Body-buzz', 'Relaxed', 'Sociable']"
supreme-cbd-durban,Supreme CBD Durban,Sativa-dominant (70%),"['Durban Poison', 'CBD strain']",8%,8%,"['Spicy', 'Sweet', 'Anise']","['Uplifting', 'Relaxed', 'Sociable', 'Motivated']"
supreme-cbd-kush,Supreme CBD Kush,Indica/sativa,"['CBD strain', 'G13', 'OG Kush']",9.5%,9.5%,"['Earthy', 'Citrus', 'Pine']","['Calming', 'Uplifting', 'Relaxed', 'Happy']"
swazi-gold,Swazi Gold,Sativa (90-100%),Swaziland,High,Unknown,"['Earthy', 'Sweet']","['Uplifting', 'Euphoric', 'Energetic']"
sweet-n-sour-indoor,Sweet 'N Sour Indoor,Sativa-dominant (80%),"['Mexican Haze', 'Hawaiian sativa', 'Princess', 'Skunk 1']",Medium,Unknown,"['Sweet', 'Fruity', 'Sour']","['Euphoric', 'Uplifting', 'Motivated', 'Cerebral']"
sweet-amnesia-haze,Sweet Amnesia Haze,Sativa-dominant (70%),Amnesia Haze,16-22%,0.1%,"['Pine', 'Sweet', 'Citrus', 'Woody']","['Talkative', 'Happy', 'Uplifting', 'Sociable']"
sweet-black-angel,Sweet Black Angel,Indica-dominant (80%),"['Black Domina', 'Super Silver Haze']",18%,Unknown,"['Sweet', 'Blueberry', 'Musky']","['Cerebral', 'Happy', 'Narcotic', 'Relaxed']"
sweet-bubble,Sweet Bubble,Sativa-dominant (60%),"['Power Plant', 'Santa Maria']",19%,Unknown,"['Sweet', 'Caramel']","['Euphoric', 'Uplifting', 'Alert']"
sweet-candy,Sweet Candy,Indica-dominant (70%),"['Maple Leaf Indica', 'White Rhino', 'Blue Black']",17%,Low,"['Sweet', 'Fruity']","['Euphoric', 'Relaxed', 'Couch-lock', 'Strong']"
sweet-cheese,Sweet Cheese,Sativa-dominant (70%),"['Black Jack', 'Cheese']",15-20%,1.4%,"['Pungent', 'Spicy', 'Cheese', 'Sweet']","['Relaxed', 'Energetic', 'Uplifting', 'Euphoric']"
sweet-coffee-ryder,Sweet Coffee Ryder,Sativa-dominant autoflowering,"['Colombian Gold', 'ruderalis']",19%,Unknown,"['Spicy', 'Earthy', 'Fruity', 'Sweet']","['Motivated', 'Uplifting', 'Sociable']"
sweet-deep-grapefruit,Sweet Deep Grapefruit,Indica-dominant (80%),"['Blueberry', 'Grapefruit']",12-19%,Medium,"['Fruity', 'Sweet', 'Citrus']","['Relaxed', 'Happy', 'Sleepy', 'Munchies', 'Euphoric']"
sweet-kush,Sweet Kush,Indica-dominant,"['South Africa', 'Hindu Kush']",Medium,Unknown,"['Sweet', 'Earthy', 'Citrus', 'Pine']","['Giggly', 'Sociable', 'Relaxed', 'Happy']"
sweet-lemon-ak,Sweet Lemon AK,Sativa-dominant (60%),"['Mexican', 'Afghani', 'Thai', 'Colombian']",18%,Low,"['Pungent', 'Skunk', 'Earthy']","['Euphoric', 'Relaxed', 'Clear-headed']"
sweet-love,Sweet Love,Sativa-dominant (60%),"['Tropimango', 'Juanita la Lagrimosa']",16%,11%,"['Sweet', 'Fresh', 'Tropical', 'Fruity']","['Calming', 'Sociable', 'Relaxed', 'Happy', 'Body-buzz']"
sweet-moby,Sweet Moby,Sativa-dominant,"['Haze', 'White Widow']",High,Low,"['Pine', 'Earthy']","['Couch-lock', 'Cerebral', 'Calming']"
sweet-nurse-auto-cbd,Sweet Nurse Auto CBD,Indica-dominant (60%) autoflowering,Unknown,5-10%,10-16%,"['Citrus', 'Spicy', 'Skunk']","['Relaxed', 'Happy', 'Calming', 'Sociable']"
sweet-pink-grapefruit,Sweet Pink Grapefruit,Indica/sativa,Unknown,Medium,Unknown,"['Grape', 'Sweet', 'Fruity']","['Uplifting', 'Energetic', 'Euphoric', 'Creative']"
sweet-pure-auto-cbd,Sweet Pure Auto CBD,Indica-dominant (55%) autoflowering,"['Honey Peach Auto CBD', 'Sweet Pure CBD']",0.4-0.9%,8-20%,"['Fresh', 'Citrus', 'Fruity', 'Cypress']","['Clear-headed', 'Long-lasting', 'Smooth']"
sweet-pure-cbd,Sweet Pure CBD,Sativa-dominant (60%),"['CBD strain', 'Diesel']",0.4-1%,8-15%,"['Sweet', 'Cypress', 'Fruity']","['Clear-headed', 'Smooth', 'Relaxed']"
sweet-purple,Sweet Purple,Indica/sativa (50/50),"['Thai', 'Dutch genetics']",Medium,Unknown,"['Herbal', 'Spicy']","['Alert', 'Relaxed']"
sweet-tai,Sweet Tai,Sativa-dominant (70%),"['Early Skunk', 'Super Tai']",Medium,Unknown,"['Sweet', 'Spicy']","['Alert', 'Energetic', 'Cerebral']"
sweet-zz,Sweet ZZ,Indica-dominant (80%),"['Grape Ape', 'Grapefruit']",22%,Low,"['Candy', 'Grape', 'Berry', 'Sweet']","['Long-lasting', 'Body-buzz', 'Relaxed', 'Happy']"
swiss-cheese,Swiss Cheese,Indica-dominant,"['Skunk 1', 'Swiss Miss']",Medium,Unknown,"['Sweet', 'Cheese', 'Skunk']","['Couch-lock', 'Relaxed', 'Calming']"
swiss-dream-auto-cbd,Swiss Dream Auto CBD,Sativa-dominant autoflowering,"['Swiss Dream CBD', 'ruderalis']",0.6%,20%,"['Fruity', 'Earthy']",Relaxed
swiss-dream-cbd,Swiss Dream CBD,Sativa-dominant,Unknown,0.22%,7%,"['Flowery', 'Ginger', 'Diesel', 'Spicy']","['Dreamy', 'Calming', 'Relaxed']"
syrup,Syrup,Indica-dominant autoflowering,Unknown,Medium,Unknown,"['Fruity', 'Sweet']","['Body-buzz', 'Narcotic', 'Relaxed']"
t99,T99,Indica-dominant (80%),"['Northern Lights 5 x Haze', 'Big Buddha Cheese']",High,Unknown,"['Sweet', 'Spicy', 'Cheese']","['Happy', 'Sociable', 'Relaxed', 'Motivated', 'Uplifting', 'Energetic']"
tahoe-og-kush,Tahoe OG Kush,Indica-dominant,"['SFV OG Kush', 'OG Kush']",Medium,Unknown,"['Diesel', 'Fruity', 'Lemon']","['Relaxed', 'Body-buzz', 'Long-lasting']"
taiga-2,Taiga 2,Indica/sativa autoflowering,"['ruderalis', 'Power Plant']",High,Unknown,"['Pungent', 'Earthy']","['Relaxed', 'Body-buzz', 'Sociable', 'Balanced']"
tangerine-dream,Tangerine Dream,Indica-dominant (70%),"['G13', 'Afghani']",25%,1.8%,"['Spicy', 'Citrus', 'Sweet', 'Fruity']","['Uplifting', 'Euphoric', 'Trippy', 'Cerebral']"
tangerine-g13,Tangerine G13,Indica-dominant (60%),"['Tangerine', 'G13']",Medium,Unknown,"['Sweet', 'Fruity', 'Citrus']","['Cerebral', 'Uplifting', 'Body-buzz', 'Motivated']"
tangie-ghost-train,Tangie Ghost Train,Sativa-dominant,"['Ghost Train Haze 1', 'Tangie']",High,Unknown,"['Sweet', 'Fruity', 'Sour', 'Tangerine']","['Happy', 'Strong', 'Euphoric', 'Uplifting']"
tangie-xxl-auto,Tangie XXL Auto,Indica-dominant (70%) autoflowering,"['Californian Orange', 'Skunk']",18%,Low,Tangerine,"['Relaxed', 'Creative']"
tangie-matic,Tangie'matic,Sativa-dominant autoflowering,"['ruderalis', 'Tangie']",21-22%,Low,"['Spicy', 'Tangerine', 'Fresh']","['Cerebral', 'Euphoric', 'Uplifting']"
tangilope,Tangilope,Sativa-dominant (80%),"['Tangie', 'Chocolope']",Medium,Unknown,"['Chocolate', 'Citrus', 'Lemon']","['Trippy', 'Cerebral', 'Uplifting', 'Energetic']"
tasman-haze,Tasman Haze,Sativa-dominant,Unknown,High,Low,"['Spicy', 'Pungent']","['Focused', 'Uplifting', 'Energetic', 'Motivated']"
tatanka-pure-cbd,Tatanka Pure CBD,Indica-dominant (70%),Elixir Vitae x Medical CBD,Low,High,"['Candy', 'Pepper', 'Fruity']","['Clear-headed', 'Calming']"
temple-haze,Temple Haze,Sativa-dominant (70%),"['Nepal Hash Plant', 'Original Haze']",High,Unknown,"['Sweet', 'Spicy', 'Citrus']","['Euphoric', 'Cerebral', 'Relaxed', 'Uplifting', 'Trippy']"
thai-fantasy,Thai Fantasy,Sativa-dominant (65%),"['Thai', 'Black Domina']",Medium,Unknown,"['Sweet', 'Earthy']","['Uplifting', 'Energetic', 'Motivated', 'Cerebral', 'Relaxed']"
thc-bomb,THC Bomb,Indica/sativa (50/50),Unknown,20-25%,Unknown,"['Herbal', 'Citrus', 'Spicy', 'Earthy', 'Sweet']","['Relaxed', 'Energetic', 'Strong', 'Euphoric']"
thc-bunker-buster,THC Bunker Buster,Indica-dominant (80%),"['Afghani', 'Skunk', 'Northern Lights']",18%,Unknown,"['Spicy', 'Sweet']","['Calming', 'Relaxed', 'Couch-lock']"
the-bulldog-chronic,The Bulldog Chronic,Indica-dominant,"['Super Skunk', 'The Church']",Medium,Unknown,"['Spicy', 'Skunk', 'Sour']","['Relaxed', 'Sociable', 'Happy']"
the-bulldog-haze,The Bulldog Haze,Sativa-dominant (60%),"['Lemon Skunk', 'Super Silver Haze']",High,Unknown,"['Sweet', 'Lemon', 'Citrus', 'Pine', 'Fresh']","['Sociable', 'Motivated', 'Alert', 'Uplifting', 'Relaxed', 'Euphoric']"
the-church,The Church,Indica-dominant (60%),"['Super Skunk', 'Erdbeer', 'Northern Lights']",20%,0.16%,"['Skunk', 'Strawberry', 'Sweet']","['Sociable', 'Motivated', 'Uplifting', 'Relaxed']"
the-church-cbd,The Church CBD,Indica-dominant (60%),"['The Church', 'CBD strain']",8-11%,8-11%,"['Sweet', 'Strawberry', 'Skunk']","['Sociable', 'Calming', 'Narcotic', 'Relaxed']"
