UrlName,Name,Genetics,Parents,THC,CBD,Smell & flavour,Effect
ac-diesel,A.C. Diesel,Sativa-dominant,Sour Diesel,Medium,Unknown,"['Diesel', 'Sour']","['Focused', 'Cerebral', 'Relaxed', 'Uplifting']"
ams,AMS,Indica-dominant (60%),"['Swiss indica', 'Swiss sativa']",19-20%,0.17%,"['Sweet', 'Earthy', 'Pine']","['Energetic', 'Euphoric', 'Clear-headed']"
a-1-haze,A1 Haze,Sativa-dominant,Unknown,Medium,Unknown,"['Pine', 'Sweet', 'Fresh']","['Uplifting', 'Attentive', 'Sociable', 'Talkative']"
acapulco-gold,Acapulco Gold,Sativa-dominant (70%),Landrace from Mexico,Medium,Low,"['Spicy', 'Earthy', 'Sweet', 'Musky']","['Uplifting', 'Cerebral', 'Energetic', 'Alert']"
acdc,ACDC,Indica/sativa,Cannatonic,1%,19-22%,"['Woody', 'Lemon', 'Pine', 'Fresh']","['Clear-headed', 'Smooth', 'Relaxed']"
ace-silver-haze,Ace Silver Haze,Sativa-dominant,"['Haze', 'Skunk', 'Northern Lights']",High,Unknown,"['Citrus', 'Sweet', 'Spicy']","['Uplifting', 'Happy', 'Cerebral']"
acid,Acid,Indica-dominant (60%),NYC Diesel,16-20%,Unknown,"['Diesel', 'Sour', 'Grape']","['Relaxed', 'Uplifting', 'Euphoric']"
afghan-hash-plant,Afghan Hash Plant,Indica (90-100%),Afghani Mazar-i-Sharif,Medium,Unknown,"['Pungent', 'Sandalwood', 'Citrus', 'Woody']","['Body-buzz', 'Calming', 'Relaxed']"
afghan-haze,Afghan Haze,Sativa-dominant,"['Haze', 'Afghani']",High,Unknown,"['Herbal', 'Spicy', 'Pine', 'Woody']","['Calming', 'Relaxed', 'Happy']"
afghan-kush,Afghan Kush,Indica (90-100%),Landrace from Hindu Kush,17%,Unknown,"['Spicy', 'Woody', 'Earthy']","['Strong', 'Relaxed', 'Sleepy', 'Couch-lock']"
afghan-kush-ryder,Afghan Kush Ryder,Indica autoflowering,"['Afghan Kush', 'ruderalis']",22%,Unknown,"['Spicy', 'Earthy', 'Woody']","['Strong', 'Couch-lock', 'Sleepy', 'Calming']"
afghan-og,Afghan OG,Indica-dominant,"['Afghani', 'OG Kush']",Medium,Medium,"['Spicy', 'Earthy', 'Hashish']","['Relaxed', 'Body-buzz', 'Couch-lock', 'Calming', 'Sedative']"
afghan-skunk,Afghan Skunk,Indica/sativa (50/50),"['Skunk 1', 'Afghani']",17%,Unknown,"['Earthy', 'Herbal', 'Skunk']","['Sleepy', 'Calming', 'Relaxed']"
afghani,Afghani,Indica (90-100%),Landrace from Afghanistan,Medium,Unknown,"['Spicy', 'Earthy', 'Fresh']","['Relaxed', 'Couch-lock', 'Body-buzz', 'Happy', 'Calming']"
afghani-gold,Afghani Gold,Indica (90-100%),"['Afghani', 'Skunk 1']",High,Unknown,"['Sweet', 'Spicy', 'Herbal', 'Fruity']","['Relaxed', 'Happy', 'Couch-lock', 'Euphoric', 'Strong']"
afgooey,Afgooey,Indica-dominant (70%),"['Maui Haze', 'Afghani']",High,Unknown,"['Earthy', 'Citrus', 'Fruity']","['Creative', 'Sociable', 'Relaxed', 'Happy']"
afrodite,Afrodite,Sativa-dominant,"['Black Domina', 'Jack Herer']",Medium,Unknown,"['Sweet', 'Pepper', 'Earthy', 'Spicy']","['Cerebral', 'Strong', 'Narcotic']"
afrokush,Afrokush,Indica/sativa (50/50),Pakistan Chitral Kush,High,Low,"['Sweet', 'Lemon', 'Flowery', 'Spicy', 'Hashish']","['Motivated', 'Creative', 'Uplifting', 'Energetic']"
agent-orange,Agent Orange,Indica/sativa (50/50),"[""Jack's Cleaner"", 'Orange Skunk', 'Space Queen']",High,Unknown,"['Lemon', 'Sour']","['Strong', 'Motivated', 'Energetic']"
airborne-genius,Airborne Genius,Indica-dominant,"['Genius', 'G13 Hash Plant']",High,Unknown,"['Sweet', 'Citrus', 'Sour', 'Lemon']","['Happy', 'Balanced', 'Relaxed', 'Uplifting']"
ak-choco-kush,AK Choco Kush,Indica-dominant (80%),"['Choco Kush', 'AK-47']",21%,0.4%,"['Sweet', 'Chocolate', 'Spicy']","['Narcotic', 'Sleepy', 'Body-buzz', 'Relaxed']"
ak-widow-47,AK Widow 47,Indica/sativa (50/50),"['AK-47', 'White Widow']",14-19%,Unknown,"['Skunk', 'Fruity', 'Citrus', 'Spicy']","['Energetic', 'Uplifting', 'Relaxed']"
ak-020,AK-020,Indica/sativa (50/50),"['Colombian', 'Mexican', 'Afghani']",High,Unknown,"['Spicy', 'Sour', 'Pungent', 'Sweet', 'Earthy']","['Cerebral', 'Long-lasting', 'Relaxed', 'Body-buzz']"
ak-420,AK-420,Sativa-dominant,"['Mexican', 'Thai', 'Colombian', 'Afghani']",High,Unknown,"['Earthy', 'Skunk', 'Pungent']","['Relaxed', 'Uplifting', 'Sociable', 'Cerebral']"
ak-47,AK-47,Sativa-dominant,"['Colombian', 'Mexican', 'Afghani', 'Thai']",High,Unknown,"['Spicy', 'Pine', 'Skunk', 'Citrus']","['Sociable', 'Cerebral', 'Alert', 'Relaxed', 'Calming']"
ak-48,AK-48,Indica/sativa,"['Mexican', 'Afghani', 'Thai', 'Colombian Gold']",High,Unknown,"['Sweet', 'Citrus', 'Skunk']","['Cerebral', 'Relaxed', 'Calming']"
ak-og-kush,AK-OG Kush,Indica-dominant (80%),"['AK-47', 'OG Kush']",22%,0.4%,"['Earthy', 'Spicy', 'Coffee', 'Woody']","['Narcotic', 'Body-buzz', 'Relaxed', 'Happy']"
akorn,Akorn,Indica-dominant,Snow Bud,High,Unknown,"['Skunk', 'Sweet', 'Spicy']","['Relaxed', 'Body-buzz', 'Calming']"
alaskan-ice,Alaskan Ice,Sativa-dominant (70%),"['Haze', 'White Widow']",High,Unknown,"['Sweet', 'Earthy', 'Citrus', 'Pungent']","['Euphoric', 'Strong', 'Relaxed', 'Uplifting']"
alaskan-thunder-fuck,Alaskan Thunder Fuck,Sativa-dominant (60%),,22%,Low,"['Pine', 'Lemon', 'Skunk', 'Mint']","['Munchies', 'Relaxed', 'Euphoric']"
alchemy,Alchemy,Indica/sativa (50/50),"['Querkle', 'Chem Dawg']",21-22%,0.03%,"['Musky', 'Earthy', 'Diesel', 'Grape']","['Happy', 'Motivated', 'Relaxed', 'Munchies']"
alegria,Alegria,Indica-dominant (80%),Unknown,Medium,Medium,"['Diesel', 'Sweet', 'Pine']","['Sociable', 'Relaxed', 'Motivated', 'Creative']"
alien-og,Alien OG,Indica-dominant,"['Tahoe OG Kush', 'Alien Kush']",28%,Low,"['Lemon', 'Pine']","['Focused', 'Happy', 'Uplifting']"
allkush,Allkush,Indica-dominant (80%),"['Dutch genetics', 'Kush']",High,Low,"['Sweet', 'Earthy', 'Musky']","['Talkative', 'Strong', 'Calming', 'Sociable', 'Relaxed']"
alphadawg,Alphadawg,Sativa-dominant (60%),"['Chemdawg D', 'Snowdawg']",High,Unknown,"['Sweet', 'Skunk', 'Diesel']","['Cerebral', 'Euphoric', 'Body-buzz', 'Relaxed']"
alpujarreña,Alpujarreña,Indica (90-100%),Unknown,17%,1%,"['Herbal', 'Earthy', 'Spicy']","['Relaxed', 'Body-buzz', 'Calming']"
amazing-haze,Amazing Haze,Sativa (90-100%),"['Amnesia Haze', 'Caramella']",High,Unknown,"['Earthy', 'Lemon']","['Motivated', 'Cerebral', 'Uplifting', 'Happy']"
amazonia,Amazonia,Sativa-dominant (60%),"['Master Widow', 'Green Thai']",Medium,Medium,"['Sweet', 'Creamy', 'Spicy']","['Body-buzz', 'Happy', 'Long-lasting', 'Relaxed']"
american-dream,American Dream,Indica-dominant (70%),"['Jamaican', 'Afghani', 'Hawaiian sativa', 'Skunk']",Medium,Unknown,"['Sweet', 'Skunk', 'Pungent']","['Relaxed', 'Happy', 'Giggly']"
american-kush,American Kush,Indica-dominant (70%),"['Sin City Kush', 'Pre 98 Bubba Kush']",High,Low,"['Fruity', 'Lavender', 'Lemon']","['Strong', 'Relaxed']"
american-pie,American Pie,Sativa-dominant (60%),"['Power Plant', 'White Widow']",20%,Unknown,"['Earthy', 'Sweet', 'Spicy']","['Happy', 'Talkative', 'Relaxed', 'Motivated']"
amherst-sour-diesel,Amherst Sour Diesel,Sativa-dominant (80%),"['Unknown', 'Sour Diesel']",27%,0.1%,"['Pungent', 'Diesel', 'Tropical', 'Fruity']","['Trippy', 'Energetic', 'Uplifting', 'Euphoric', 'Cerebral']"
amnesi-k-lemon,Amnesi-K Lemon,Sativa-dominant,"['Amnesia', 'Jack Herer', 'Lemon Skunk']",23-24%,0.3%,"['Earthy', 'Lemon', 'Citrus', 'Skunk']","['Creative', 'Happy', 'Euphoric', 'Uplifting']"
amnesia,Amnesia,Sativa-dominant,"[""Neville's Haze"", 'Enemy Of The State']",20-25%,Low,"['Sweet', 'Fresh', 'Fruity']","['Uplifting', 'Euphoric', 'Cerebral', 'Happy', 'Energetic']"
amnesia-7,Amnesia 7,Sativa-dominant,"['Peyote Purple 7', 'Amnesia']",High,Unknown,"['Herbal', 'Flowery', 'Kushy']","['Relaxed', 'Uplifting', 'Energetic', 'Talkative']"
amnesia-bilbo,Amnesia Bilbo,Sativa,Amnesia Haze,High,Unknown,"['Citrus', 'Candy', 'Sweet', 'Spicy']","['Uplifting', 'Euphoric', 'Cerebral', 'Energetic']"
amnesia-cbd,Amnesia CBD,Sativa-dominant (60%),"['Original Amnesia', 'CBD strain']",8%,10%,"['Citrus', 'Woody', 'Lemon', 'Tropical']","['Creative', 'Relaxed', 'Calming']"
amnesia-gold,Amnesia Gold,Sativa-dominant (75%),"['Lennon', 'Amnesia Haze']",19%,0.1%,"['Citrus', 'Fruity', 'Sweet']","['Motivated', 'Body-buzz', 'Uplifting', 'Cerebral']"
amnesia-haze,Amnesia Haze,Sativa-dominant (70%),"['Jamaican', 'Afghani', 'Laos', 'Hawaiian']",22-24%%,Low,"['Sweet', 'Pepper', 'Citrus', 'Spicy', 'Earthy']","['Uplifting', 'Euphoric', 'Cerebral', 'Strong', 'Energetic']"
amnesia-haze-xl,Amnesia Haze XL,Sativa-dominant,"['Amnesia Haze', 'Super Skunk']",21%,Unknown,"['Skunk', 'Sweet', 'Spicy']","['Uplifting', 'Cerebral', 'Happy', 'Strong']"
amnesia-kush,Amnesia Kush,Sativa-dominant (70%),"['Amnesia Haze', 'OG Kush']",20%,0.1%,"['Lemon', 'Pine', 'Citrus', 'Sweet']","['Relaxed', 'Cerebral', 'Uplifting', 'Couch-lock']"
amnesia-lemon,Amnesia Lemon,Sativa-dominant (60%),"['Amnesia Haze', 'Lemon Skunk']",High,Low,"['Woody', 'Earthy', 'Sweet', 'Citrus']","['Strong', 'Relaxed', 'Cerebral', 'Sleepy', 'Couch-lock']"
amnesia-mac-ganja-amg,Amnesia Mac Ganja (AMG),Sativa-dominant (80%),"['Amnesia', 'Mexican Haze']",22%,Low,"['Herbal', 'Spicy', 'Earthy']","['Euphoric', 'Strong']"
amnesia-mistery,Amnesia Mistery,Sativa (90-100%),"['California', 'Amnesia Haze']",21%,0.3%,"['Citrus', 'Mint', 'Pine', 'Fresh']","['Euphoric', 'Uplifting', 'Creative', 'Giggly', 'Cerebral']"
amnesia-molotov,Amnesia Molotov,Sativa-dominant (60%),"['Kubanskiy Ubiyza', 'Chem Dawg', 'Amnesia']",24%,Unknown,"['Spicy', 'Citrus', 'Ginger']","['Euphoric', 'Strong', 'Relaxed', 'Happy', 'Cerebral']"
amnesia-ryder,Amnesia Ryder,Sativa-dominant autoflowering,"['Lowryder 2', 'Amnesia']",Medium,Unknown,"['Fruity', 'Pungent', 'Citrus']","['Cerebral', 'Euphoric', 'Uplifting', 'Energetic', 'Motivated']"
amnesia-white,Amnesia White,Sativa-dominant (70%),"['Haze', 'Afghani', 'Thai']",High,Unknown,"['Flowery', 'Spicy', 'Pine']","['Trippy', 'Strong']"
amsterdam-mist,Amsterdam Mist,Sativa-dominant (70%),"['Haze', 'Northern Lights']",Medium,Unknown,"['Fresh', 'Lemon', 'Herbal', 'Fruity']","['Energetic', 'Creative', 'Relaxed', 'Cerebral']"
anesthesia,Anesthesia,Indica (90-100%),"['Black Domina', 'Northern Lights']",Medium,Unknown,"['Sweet', 'Chemical', 'Sour']","['Narcotic', 'Happy', 'Relaxed']"
angel-heart,Angel Heart,Sativa-dominant,"['Mango Haze', 'Afghan Skunk']",Medium,Unknown,"['Sweet', 'Skunk', 'Musky', 'Fruity']","['Creative', 'Uplifting', 'Energetic', 'Happy']"
annapurna-superauto,Annapurna SuperAuto,Sativa-dominant (80%) autoflowering,"['Stitch 0.1', 'Kerala', 'KC33']",18%,0.9%,"['Herbal', 'Mint', 'Spicy']","['Happy', 'Calming', 'Relaxed']"
apollo-11,Apollo 11,Sativa-dominant,"['Cinderella 99', 'Genius']",Medium,Unknown,"['Sweet', 'Lemon', 'Fruity', 'Candy']","['Happy', 'Cerebral', 'Energetic', 'Uplifting']"
apollo-haze,Apollo Haze,Sativa-dominant,"['Super Silver Grail Haze', 'Genius']",Medium,Unknown,"['Berry', 'Spicy', 'Fuel', 'Citrus', 'Fruity']","['Energetic', 'Clear-headed', 'Euphoric']"
apple-fritter,Apple Fritter,Indica-dominant,,High,Low,"['Sweet', 'Fruity', 'Sour', 'Earthy']","['Happy', 'Energetic', 'Uplifting', 'Focused']"
apple-fritter-automatic,Apple Fritter Automatic,Indica-dominant autoflowering,,High,Low,"['Fruity', 'Sour', 'Earthy']","['Motivated', 'Uplifting', 'Creative']"
applejack,AppleJack,Sativa-dominant,"['Jack Herer', 'White Widow']",18-19%,Unknown,"['Sweet', 'Fruity', 'Skunk']","['Happy', 'Strong', 'Euphoric', 'Uplifting', 'Relaxed']"
arjan-s-haze-1,Arjan's Haze 1,Sativa-dominant (70%),"['G13', 'Haze']",21.44%,0.4%,"['Sweet', 'Spicy', 'Citrus', 'Mint']","['Strong', 'Psychedelic', 'Uplifting', 'Long-lasting']"
arjan-s-ultra-haze-1,Arjan's Ultra Haze 1,Sativa-dominant (80%),"['Cambodia', ""Neville's Haze"", 'Laos']",16.22%,0.19%,"['Citrus', 'Sweet', 'Fresh']","['Trippy', 'Strong', 'Energetic', 'Uplifting']"
arjan-s-ultra-haze-2,Arjan's Ultra Haze 2,Sativa-dominant (80%),"['Mango Haze', ""Neville's Haze"", 'Laos']",17-18%,0.16%,"['Woody', 'Sweet', 'Fruity']","['Motivated', 'Uplifting', 'Energetic', 'Talkative']"
arjan-s-haze-2,Arjan’s Haze 2,Sativa-dominant (80%),"['Laos', 'Haze', 'Super Silver Haze']",12.89%,0.2%,"['Earthy', 'Sweet', 'Pine']","['Trippy', 'Cerebral', 'Energetic', 'Uplifting']"
arjan-s-haze-3,Arjan’s Haze 3,Sativa-dominant (70%),"['Laos', 'Haze']",13.29%,1.2%,"['Sweet', 'Pine', 'Tropical']","['Uplifting', 'Talkative', 'Cerebral', 'Euphoric']"
arjan-s-strawberry-haze,Arjan’s Strawberry Haze,Sativa-dominant (60%),"['NL5 Haze Mist', 'Swiss sativa']",19.72%,0.07%,"['Sweet', 'Strawberry']","['Strong', 'Trippy', 'Uplifting', 'Cerebral', 'Euphoric']"
armageddon,Armageddon,Indica/sativa,Unknown,High,Unknown,"['Earthy', 'Citrus', 'Woody']","['Cerebral', 'Energetic', 'Euphoric', 'Long-lasting', 'Creative']"
aroma,Aroma,Indica-dominant,"['Ed Rosenthal Super Bud', 'Power Plant', 'CH9 Hybrid', 'Jack Herer']",Medium,Unknown,"['Candy', 'Earthy', 'Pineapple', 'Tangerine', 'Flowery']","['Long-lasting', 'Relaxed', 'Uplifting', 'Motivated']"
atomic,Atomic,Indica/sativa,"['Chem Dawg', 'Emerald OG Kush', 'THC Bomb']",22-26%,Unknown,"['Kushy', 'Citrus', 'Mint', 'Fuel', 'Berry']","['Relaxed', 'Body-buzz', 'Strong', 'Euphoric', 'Balanced']"
atomical-haze,Atomical Haze,Sativa-dominant (80%),"['Haze', 'Afghani', 'Indian sativa']",High,Low,"['Sweet', 'Sour']","['Focused', 'Energetic', 'Cerebral']"
aurora-indica,Aurora Indica,Indica (90-100%),"['Afghani', 'Northern Lights']",Medium,Unknown,"['Earthy', 'Hashish']","['Relaxed', 'Body-buzz', 'Strong', 'Couch-lock']"
auto-1,Auto 1,Indica-dominant autoflowering,Lowryder 2,Low,Unknown,"['Earthy', 'Woody', 'Herbal']","['Relaxed', 'Munchies', 'Calming', 'Body-buzz']"
auto-acid,Auto Acid,Indica/sativa autoflowering,ruderalis,14-18%,0.1%,"['Sour', 'Grapefruit', 'Diesel']","['Creative', 'Euphoric', 'Attentive', 'Happy']"
auto-afghan-skunk,Auto Afghan Skunk,Indica-dominant autoflowering,"['Afghani', 'Skunk', 'ruderalis']",15%,Unknown,"['Pine', 'Earthy', 'Skunk']","['Relaxed', 'Body-buzz', 'Calming']"
auto-afghani,Auto Afghani,Indica-dominant (70%) autoflowering,"['Afghani', 'Skunk 1', 'ruderalis']",17-19%,Unknown,"['Earthy', 'Sweet', 'Spicy']","['Mellow', 'Relaxed', 'Happy', 'Calming']"
auto-alpujarreña,Auto Alpujarreña,Indica-dominant autoflowering,"['Alpujarreña', 'ruderalis']",15%,Unknown,"['Pungent', 'Earthy', 'Spicy', 'Sweet']","['Mellow', 'Relaxed', 'Body-buzz', 'Calming']"
auto-anesthesia,Auto Anesthesia,Indica-dominant autoflowering,"['Black Domina', 'Northern Lights', 'ruderalis']",Medium,Unknown,"['Sour', 'Sweet']","['Happy', 'Meditative', 'Relaxed', 'Body-buzz']"
auto-anthrax,Auto Anthrax,Indica-dominant (60%) autoflowering,"['Green Poison', 'Big Devil 2']",High,Low,"['Skunk', 'Sweet']","['Relaxed', 'Strong', 'Calming']"
auto-anubis,Auto Anubis,Indica-dominant autoflowering,"['Wembley', 'Chronic', 'ruderalis']",15%,Unknown,"['Citrus', 'Sweet']","['Focused', 'Cerebral', 'Relaxed', 'Motivated']"
auto-banana-blaze,Auto Banana Blaze,Indica autoflowering,"['Banana Blaze', 'Auto Mazar']",16%,0.1%,"['Fruity', 'Banana', 'Pungent', 'Citrus', 'Sweet']","['Calming', 'Uplifting']"
auto-bio-diesel-mass,Auto Bio Diesel Mass,Indica/sativa autoflowering,"['NYC Diesel Autoflowering', 'Critical Mass Autoflowering']",17%,Unknown,"['Pungent', 'Diesel', 'Chemical']","['Balanced', 'Calming', 'Smooth', 'Relaxed', 'Body-buzz']"
auto-blackberry-kush,Auto Blackberry Kush,Indica-dominant autoflowering,"['ruderalis', 'Blueberry', 'Kush']",Medium,Unknown,"['Berry', 'Sweet', 'Earthy', 'Fruity']","['Happy', 'Relaxed', 'Body-buzz', 'Sleepy']"
auto-blackberry-moonrocks,Auto Blackberry Moonrocks,Indica-dominant autoflowering,Blackberry Kush,25%,Low,"['Blueberry', 'Lavender']","['Relaxed', 'Strong', 'Body-buzz']"
auto-blue-amnesia,Auto Blue Amnesia,Sativa-dominant autoflowering,"['Blueberry', 'ruderalis', 'Amnesia']",18%,Unknown,"['Sweet', 'Candy', 'Flowery']","['Energetic', 'Happy', 'Cerebral', 'Relaxed']"
auto-blue-diesel,Auto Blue Diesel,Indica-dominant autoflowering,"['Blueberry Autoflowering', 'Auto Bio Diesel Mass']",16%,Unknown,"['Diesel', 'Tropical', 'Pungent']","['Smooth', 'Relaxed', 'Uplifting', 'Happy']"
auto-blue-pyramid,Auto Blue Pyramid,Indica-dominant (80%) autoflowering,"['Blue Pyramid', 'ruderalis']",13-15%,1.4%,"['Blueberry', 'Fruity', 'Sweet']","['Calming', 'Clear-headed', 'Relaxed', 'Body-buzz']"
auto-blueberry,Auto Blueberry,Indica-dominant autoflowering,"['ruderalis', 'Blueberry']",Medium,Unknown,"['Blueberry', 'Fruity', 'Sweet']","['Euphoric', 'Talkative', 'Relaxed', 'Happy']"
auto-blueberry-banana,Auto Blueberry Banana,Indica-dominant autoflowering,"['Auto Banana Kush', 'Blueberry']",22%,Low,"['Banana', 'Blueberry']","['Happy', 'Relaxed', 'Body-buzz']"
auto-blueberry-domina,Auto Blueberry Domina,Indica-dominant (70%) autoflowering,"['Black Domina Autoflowering', 'Blueberry']",17%,Unknown,"['Fresh', 'Spicy', 'Berry']","['Calming', 'Body-buzz', 'Relaxed', 'Happy']"
auto-bomb,Auto Bomb,Indica/sativa autoflowering,"['Haze', 'ruderalis', 'Bomb 1']",10-15%,Unknown,"['Sweet', 'Earthy', 'Spicy']","['Happy', 'Relaxed', 'Body-buzz', 'Talkative']"
auto-brooklyn-sunrise,Auto Brooklyn Sunrise,Indica/sativa autoflowering,"['Diesel', 'AK-47', 'ruderalis']",Medium,Unknown,"['Diesel', 'Pine', 'Chemical', 'Earthy']","['Smooth', 'Uplifting', 'Euphoric']"
auto-bubblegum,Auto Bubblegum,Indica-dominant autoflowering,"['ruderalis', 'Bubble Gum']",Medium,Unknown,"['Candy', 'Tropical', 'Fruity', 'Sweet']","['Happy', 'Lazy', 'Calming', 'Relaxed']"
auto-cbd-star,Auto CBD Star,Indica-dominant (70%) autoflowering,Unknown,10%,10%,"['Musky', 'Spicy', 'Earthy']","['Relaxed', 'Smooth', 'Body-buzz']"
auto-cbd-victory,Auto CBD-Victory,Indica/sativa autoflowering,Unknown,0.3%,4–6%,"['Fruity', 'Pine', 'Flowery', 'Sour']","['Clear-headed', 'Relaxed']"
auto-cheese-nl,Auto Cheese NL,Indica-dominant autoflowering,"['Auto Cheese', 'Auto Northern Lights']",16%,Low,"['Earthy', 'Cheese', 'Pungent', 'Sweet']","['Happy', 'Relaxed', 'Calming', 'Sociable', 'Creative']"
auto-chemdog,Auto Chemdog,Indica/sativa autoflowering,"['Chemdog', 'Auto 1']",Medium,Unknown,"['Fruity', 'Spicy', 'Citrus']","['Balanced', 'Happy', 'Body-buzz', 'Relaxed', 'Cerebral']"
auto-cinderella-jack,Auto Cinderella Jack,Indica/sativa,"['Jack Herer', 'Magnum', 'Cinderella 99']",20%,Unknown,"['Sweet', 'Fruity', 'Herbal']","['Giggly', 'Happy', 'Calming', 'Relaxed']"
auto-colorado-cookies,Auto Colorado Cookies,Indica-dominant autoflowering,"['Girl Scout Cookies', 'Auto Blueberry']",Medium,Unknown,"['Fruity', 'Tropical', 'Mango', 'Sweet']","['Calming', 'Happy', 'Body-buzz', 'Relaxed']"
auto-critical-orange-punch,Auto Critical Orange Punch,Indica/sativa autoflowering,"['Kritikal Bilbo Autoflowering', 'Orange Punch']",Medium,Unknown,"['Hashish', 'Skunk', 'Citrus']","['Cerebral', 'Euphoric', 'Happy']"
auto-critical-soma,Auto Critical Soma,Indica-dominant autoflowering,"['Auto Somango', 'Auto Critical']",17%,Unknown,"['Peach', 'Banana', 'Fruity', 'Mango', 'Sweet']","['Happy', 'Body-buzz', 'Calming', 'Cerebral', 'Relaxed']"
auto-daiquiri-lime,Auto Daiquiri Lime,Sativa-dominant autoflowering,"['Sour Diesel', 'Californian Orange', 'ruderalis']",Medium,Unknown,"['Diesel', 'Sour', 'Fruity', 'Lime']","['Happy', 'Sociable', 'Creative', 'Uplifting']"
auto-dark-purple,Auto Dark Purple,Indica-dominant autoflowering,"['OG Kush', 'Purple Kush Autoflowering']",18%,Unknown,"['Fruity', 'Sweet', 'Fresh']","['Energetic', 'Euphoric', 'Happy']"
auto-diablo-xl,Auto Diablo XL,Indica-dominant (60%) autoflowering,"['Jack Herer', 'Big Devil 2']",16–20%,Low,"['Fruity', 'Pungent', 'Sour']","['Euphoric', 'Happy']"
auto-diesel,Auto Diesel,Sativa-dominant autoflowering,"['ruderalis', 'NYC Diesel']",Medium,Unknown,"['Grape', 'Diesel', 'Candy', 'Citrus']","['Cerebral', 'Energetic', 'Uplifting', 'Happy']"
auto-duck,Auto Duck,Indica/sativa autoflowering,"['Auto White Widow', 'Frisian Duck']",Medium,Unknown,"['Fruity', 'Pungent', 'Sweet']","['Euphoric', 'Relaxed', 'Uplifting']"
auto-durban-poison,Auto Durban Poison,Sativa-dominant autoflowering,"['ruderalis', 'Durban Poison']",Medium,Unknown,"['Fruity', 'Spicy', 'Sweet']","['Cerebral', 'Relaxed', 'Uplifting', 'Energetic', 'Creative']"
auto-el-fuego,Auto El Fuego,Indica-dominant autoflowering,"['ruderalis', 'Unknown strain']",Medium,Unknown,"['Fresh', 'Pine', 'Earthy']","['Body-buzz', 'Lazy', 'Relaxed']"
auto-euforia,Auto Euforia,Sativa-dominant autoflowering,"['Skunk Autoflowering', 'Euforia']",Medium,Unknown,"['Skunk', 'Citrus', 'Fruity', 'Sweet']","['Motivated', 'Energetic', 'Happy', 'Uplifting', 'Euphoric']"
auto-fresh-candy,Auto Fresh Candy,Indica-dominant autoflowering,"['Fresh Candy', 'ruderalis']",13-17%,Low,"['Caramel', 'Tropical', 'Sweet']","['Happy', 'Body-buzz', 'Calming', 'Sociable']"
auto-frisian-dew,Auto Frisian Dew,Indica/sativa autoflowering,"['Frisian Dew', 'ruderalis']",Medium,Unknown,"['Sweet', 'Earthy', 'Pine']","['Happy', 'Relaxed', 'Cerebral', 'Sociable']"
auto-galaxy,Auto Galaxy,Indica-dominant autoflowering,"['Galaxy', 'ruderalis']",15%,0.8%,"['Fruity', 'Mint']","['Relaxed', 'Happy', 'Calming', 'Talkative']"
auto-glueberry-og,Auto Glueberry OG,Sativa-dominant autoflowering,"['OG Kush', 'Auto Blueberry', 'GG4']",Medium,Unknown,"['Fruity', 'Berry', 'Sweet', 'Diesel']","['Relaxed', 'Cerebral', 'Sociable', 'Happy', 'Calming']"
auto-jack,Auto Jack,Sativa-dominant (70%) autoflowering,"['Jack Herer', 'White Widow', 'ruderalis']",14-18%,0.1%,"['Fresh', 'Sweet', 'Fruity']","['Smooth', 'Energetic', 'Uplifting', 'Creative']"
auto-jack-herer,Auto Jack Herer,Sativa-dominant autoflowering,"['ruderalis', 'Jack Herer']",15%,Unknown,"['Woody', 'Spicy', 'Citrus']","['Relaxed', 'Energetic', 'Uplifting']"
auto-kaya-47,Auto Kaya 47,Sativa-dominant autoflowering,"['ruderalis', 'AK-47']",18%,Unknown,"['Spicy', 'Citrus', 'Fruity', 'Sweet']","['Sociable', 'Relaxed', 'Calming', 'Alert']"
auto-king-kong,Auto King Kong,Indica-dominant autoflowering,"['ruderalis', 'King Kong']",Medium,Unknown,"['Earthy', 'Skunk', 'Lemon', 'Pungent']","['Calming', 'Happy', 'Body-buzz', 'Relaxed']"
auto-kryptonite,Auto Kryptonite,Sativa-dominant autoflowering,"['ruderalis', 'Kryptonite']",15%,0.5%,"['Citrus', 'Fresh', 'Pine']","['Energetic', 'Focused', 'Cerebral', 'Creative', 'Uplifting']"
auto-lavender,Auto Lavender,Indica-dominant autoflowering,"['ruderalis', 'Lavender']",Medium,Unknown,"['Mint', 'Fresh', 'Lavender']","['Happy', 'Relaxed']"
auto-lemon-kix,Auto Lemon Kix,Sativa-dominant autoflowering,"['ruderalis', 'Las Vegas Lemon Skunk']",High,Low,"['Skunk', 'Citrus', 'Sweet', 'Lemon']","['Energetic', 'Uplifting', 'Creative']"
auto-lennon,Auto Lennon,Sativa-dominant autoflowering,"['ruderalis', 'Lennon']",,Low,"['Chemical', 'Pungent', 'Earthy']","['Relaxed', 'Smooth', 'Uplifting', 'Long-lasting']"
auto-mako,Auto Mako,Sativa-dominant autoflowering,"['Mako Haze', 'ruderalis']",Medium,Unknown,"['Woody', 'Tropical', 'Fruity', 'Sweet']","['Cerebral', 'Relaxed', 'Uplifting', 'Happy']"
auto-mass,Auto Mass,Indica-dominant autoflowering,"['Lowryder', 'Critical Mass']",Medium,Unknown,"['Pungent', 'Earthy', 'Sweet']","['Uplifting', 'Mellow', 'Relaxed', 'Body-buzz']"
